Calculation_methods,product_name,product_specification,price_perm2,price per unit,extra_supply,whole-sale,quantity frame,Note
SP tính theo m,HIFLEX Bạt 3.2dzem,Chừa biên,50,,25,45,,
SP tính theo m,HIFLEX Bạt 3.2dzem,Đóng Khoen,55,,25,45,,
SP tính theo m,HIFLEX Bạt 3.2dzem,"Dán nối, Chừa biên",60,,25,50,,
SP tính theo m,HIFLEX Bạt 3.2dzem,"Dán nối, đóng khoen",65,,25,50,,
SP tính theo m,HIFLEX Bạt 3.6dzem,Chừa biên,55,,30,50,,
SP tính theo m,HIFLEX Bạt 3.6dzem,Đóng Khoen,60,,30,55,,
SP tính theo m,HIFLEX Bạt 3.6dzem,"Dán nối, Chừa biên",65,,30,60,,
SP tính theo m,HIFLEX Bạt 3.6dzem,"Dán nối, đóng khoen",70,,30,60,,
SP tính theo m,HIFLEX Bạt 3.8dzem,Chừa biên,65,,35,50,,
SP tính theo m,HIFLEX Bạt 3.8dzem,Đóng Khoen,70,,35,55,,
SP tính theo m,HIFLEX Bạt 3.8dzem,"Dán nối, Chừa biên",75,,35,60,,
SP tính theo m,HIFLEX Bạt 3.8dzem,"Dán nối, đóng khoen",80,,35,60,,
SP tính theo m,PP PP dầu,Không bế,100,,0,70,,
SP tính theo m,PP PP dầu,Có bế,140,,0,110,,
SP tính theo m,DECAL Sữa/Trong Dầu,Không bế,110,,65,90,,
SP tính theo m,DECAL Sữa/Trong Dầu,Có bế,150,,115,90,,
SP tính theo m,DECAL Trong: in ngược,Không bế,110,,65,90,,
SP tính theo m,DECAL Trong: in ngược,Có bế,130,,115,90,,
SP tính theo m,DECAL Trong: in ngược,Cán lên decal sữa không bế,185,,65,90,,
SP tính theo m,DECAL Trong: in ngược,Cán lên decal sữa có bế,250,,65,90,,
SP tính theo m,DECAL Cát mờ- mực dầu,,165,,65,90,,
SP tính theo m,DECAL 2 mặt,Có bế,350,,115,90,,
SP tính theo m,DECAL Sữa: mực dầu,"Có bế, cán keo định hình",350,,115,90,,
SP tính theo m,DECAL Màu,"Có bế, cán keo định hình",250,,,,,
SP tính theo m,CANVAS Mờ,Dầu/Silk (<147cm),150,,,,,
SP tính theo m,CANVAS Bóng,Dầu/Silk (<147cm),150,,,,,
SP tính theo m,CANVAS Dầu,Khổ lớn 3m,185,,,,,
SP tính theo m,Giấy Ảnh Dầu,,150,,,,,
SP tính theo m,Baclitfilm Dầu,ko quy cách,150,,,,,
SP tính theo m,Baclitfilm Dầu,cán kéo,200,,,,,
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,200,,,5 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,250,,,10 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,500,,,20 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,1000,,,40 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,1500,,,60 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ 2 mặt",,2500,,,100 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,120,,,1-4 hộp,
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,110,,,5 hộp,
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,100,,,8 hộp,
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,95,,,10 hộp,
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,90,,,15 hộp ,
SP tính theo món,NAMECARD KTS,"C300gsm in, cán mờ 2 mặt",,85,,,20 hộp,
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,320,,,5 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,190,,,10 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,136,,,20 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,135,,,40 hộp ,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,130,,,60 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 2 mặt",,75,,,100 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,220,,,5 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,120,,,10 hộp ,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,110,,,20 hộp ,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,100,,,40 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,90,,,60 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD Offset,"C300gsm in, cán mờ, ép kim 1 mặt",,60,,,100 hộp,có hàng 5-7 ngày
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,160,,,1-4 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,150,,,5 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,140,,,8 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,130,,,10 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,120,,,15 hộp ,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 250gsm, in 2 mặt , không màng",,110,,,20 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,200,,,1-4 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,190,,,5 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,180,,,8 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,170,,,10 hộp,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,160,,,15 hộp ,
SP tính theo món,NAMECARD KTS,"Giấy mĩ thuật 300gsm, in 2 mặt , không màng",,150,,,20 hộp,
SP tính theo món,NAMECARD Offset,"Tem treo HCN: giấy C300gsm, in 2 mặt, không màng, cán mờ 2 mặt",,700,,,1000 tag,"đục lỗ 3 li hoặc 5 li, 8.8cm x 5.3cm, có hàng 7 ngày "
SP tính theo món,NAMECARD Offset,"Tem treo HCN: giấy C300gsm, in 2 mặt, không màng, cán mờ 2 mặt",,1200,,,2000 tag,"đục lỗ 3 li hoặc 5 li, 8.8cm x 5.3cm, có hàng 7 ngày "
SP tính theo món,NAMECARD Offset,"Tem treo HCN: giấy C300gsm, in 2 mặt, không màng, cán mờ 2 mặt",,1400,,,3000 tag,"đục lỗ 3 li hoặc 5 li, 8.8cm x 5.3cm, có hàng 7 ngày "
SP tính theo món,NAMECARD Offset,"Tem treo HCN: giấy C300gsm, in 2 mặt, không màng, cán mờ 2 mặt",,2100,,,5000 tag,"đục lỗ 3 li hoặc 5 li, 8.8cm x 5.3cm, có hàng 7 ngày "
SP tính theo món,NAMECARD Offset,"Tem treo HCN: giấy C300gsm, in 2 mặt, không màng, cán mờ 2 mặt",,3400,,,10000 tag,"đục lỗ 3 li hoặc 5 li, 8.8cm x 5.3cm, có hàng 7 ngày "
